               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,            0.024601,            0.006715,           0.0057624,             0.75421,             0.38876,             0.39286,             0.21871,            0.029513,            0.007643,            0.010553,           0.0021717,           0.0021717,           0.0021717
                 155,            0.024437,           0.0068115,           0.0049891,             0.81545,              0.3621,             0.39701,             0.22184,            0.029086,           0.0076036,           0.0095516,           0.0021245,           0.0021245,           0.0021245
                 156,            0.024073,           0.0067019,           0.0044943,             0.75133,             0.39049,             0.39362,             0.22251,            0.029039,           0.0076566,           0.0092528,           0.0020782,           0.0020782,           0.0020782
                 157,            0.024224,           0.0067354,           0.0053073,             0.76093,             0.38151,             0.39189,             0.22019,             0.02835,           0.0075867,            0.010216,           0.0020327,           0.0020327,           0.0020327
                 158,            0.023891,           0.0065932,           0.0044541,             0.81722,             0.34149,             0.38407,             0.21879,            0.028201,           0.0076329,            0.010721,           0.0019881,           0.0019881,           0.0019881
                 159,             0.02439,           0.0067472,            0.005183,             0.74292,              0.3839,             0.38857,             0.21894,            0.027795,           0.0075689,            0.010712,           0.0019443,           0.0019443,           0.0019443
                 160,            0.025325,           0.0068473,           0.0054528,              0.7912,             0.38128,             0.39294,             0.22482,            0.028282,           0.0075503,            0.010009,           0.0019014,           0.0019014,           0.0019014
                 161,            0.025612,           0.0065761,           0.0056051,             0.80779,               0.355,             0.39138,             0.22228,            0.028865,           0.0075481,            0.010118,           0.0018594,           0.0018594,           0.0018594
                 162,            0.025449,           0.0064981,           0.0051584,             0.79767,             0.37084,             0.39855,             0.22651,            0.027877,           0.0075507,             0.01008,           0.0018183,           0.0018183,           0.0018183
                 163,            0.023433,           0.0067245,           0.0045702,             0.81309,             0.36016,             0.39528,             0.22707,            0.028257,           0.0075165,           0.0097299,           0.0017781,           0.0017781,           0.0017781
                 164,            0.023399,           0.0067662,           0.0043641,             0.80336,              0.3746,             0.39862,             0.22384,            0.028281,            0.007466,           0.0098595,           0.0017389,           0.0017389,           0.0017389
                 165,            0.025167,           0.0065625,           0.0055853,             0.80741,             0.35749,             0.38658,             0.22292,             0.02865,           0.0075778,             0.01074,           0.0017005,           0.0017005,           0.0017005
                 166,            0.023851,           0.0064826,           0.0041676,             0.82902,             0.34914,             0.38841,             0.22203,            0.028278,           0.0074992,            0.010299,           0.0016631,           0.0016631,           0.0016631
                 167,            0.023377,           0.0065958,           0.0048568,             0.80063,             0.35732,             0.38814,             0.22021,            0.028173,           0.0075935,             0.01039,           0.0016267,           0.0016267,           0.0016267
                 168,            0.025261,            0.006643,           0.0053875,             0.83437,             0.35469,             0.40143,              0.2226,            0.028228,           0.0074896,            0.010845,           0.0015912,           0.0015912,           0.0015912
                 169,            0.024496,           0.0065634,           0.0046742,             0.81364,             0.36318,             0.39558,             0.22373,            0.028044,           0.0074723,            0.010902,           0.0015566,           0.0015566,           0.0015566
                 170,            0.023068,           0.0064353,           0.0047056,              0.7888,             0.37967,             0.39894,             0.22228,            0.028545,           0.0074794,            0.010621,           0.0015231,           0.0015231,           0.0015231
                 171,            0.025761,           0.0066111,           0.0048303,             0.76755,              0.3854,             0.40131,             0.22425,            0.028818,           0.0075294,           0.0094133,           0.0014905,           0.0014905,           0.0014905
                 172,            0.024724,            0.006498,           0.0051977,             0.81583,             0.35382,              0.3952,              0.2232,             0.02825,           0.0075018,           0.0092504,           0.0014589,           0.0014589,           0.0014589
                 173,            0.023372,           0.0066996,           0.0046447,             0.85133,             0.35567,             0.40149,             0.22824,            0.028266,           0.0074472,            0.008975,           0.0014283,           0.0014283,           0.0014283
                 174,            0.023736,           0.0065251,           0.0046756,             0.85187,             0.36797,             0.40441,             0.22758,            0.027835,           0.0074755,           0.0089014,           0.0013987,           0.0013987,           0.0013987
                 175,            0.023184,           0.0065108,           0.0043171,              0.8521,             0.35557,             0.40687,             0.23043,            0.027887,           0.0075096,           0.0088749,           0.0013701,           0.0013701,           0.0013701
                 176,            0.023094,           0.0062658,           0.0044796,             0.79413,              0.3759,             0.39961,             0.22385,            0.027527,           0.0074977,           0.0091696,           0.0013425,           0.0013425,           0.0013425
                 177,            0.023691,           0.0066026,           0.0049399,             0.79325,             0.37581,             0.39962,             0.22108,            0.027643,           0.0074743,           0.0086323,            0.001316,            0.001316,            0.001316
                 178,            0.023194,           0.0064047,           0.0045441,             0.83785,             0.36367,             0.40362,             0.23105,            0.027219,           0.0074417,           0.0091278,           0.0012905,           0.0012905,           0.0012905
                 179,            0.023857,           0.0063422,           0.0050083,             0.82363,             0.36665,             0.40015,             0.22859,            0.027233,           0.0074791,           0.0093416,            0.001266,            0.001266,            0.001266
                 180,            0.023687,           0.0063556,           0.0045292,             0.80932,             0.37376,             0.39953,              0.2292,            0.028068,           0.0075137,           0.0093311,           0.0012426,           0.0012426,           0.0012426
                 181,            0.023331,           0.0064195,           0.0043601,             0.81717,               0.375,              0.4011,             0.22676,            0.028174,           0.0074504,           0.0090215,           0.0012202,           0.0012202,           0.0012202
                 182,            0.021901,           0.0066167,           0.0039033,             0.83717,             0.36473,             0.40614,             0.22867,            0.027665,           0.0074906,           0.0087452,           0.0011989,           0.0011989,           0.0011989
                 183,            0.023424,           0.0065219,           0.0055349,             0.79888,             0.38772,             0.41089,             0.23473,            0.027458,           0.0074305,           0.0091338,           0.0011787,           0.0011787,           0.0011787
                 184,            0.023392,           0.0065878,           0.0045108,             0.78761,              0.3863,              0.4075,             0.22712,             0.02792,           0.0074494,           0.0089753,           0.0011595,           0.0011595,           0.0011595
                 185,            0.023064,           0.0063339,            0.003638,              0.8389,             0.36886,             0.41194,             0.23454,            0.027706,           0.0074508,           0.0086068,           0.0011414,           0.0011414,           0.0011414
                 186,            0.022703,           0.0065612,           0.0038083,             0.79866,             0.37775,             0.40831,             0.22989,            0.027525,           0.0074029,           0.0085935,           0.0011243,           0.0011243,           0.0011243
                 187,            0.023387,           0.0064603,           0.0051957,             0.82377,             0.37782,             0.40933,             0.23039,            0.027274,           0.0074208,           0.0087037,           0.0011084,           0.0011084,           0.0011084
                 188,            0.023671,           0.0064221,           0.0048372,             0.82365,             0.36575,             0.40376,             0.22839,            0.027584,           0.0073829,           0.0089628,           0.0010935,           0.0010935,           0.0010935
                 189,             0.02273,           0.0064541,             0.00423,             0.79328,             0.38234,             0.39886,             0.22725,            0.026991,           0.0073674,           0.0094773,           0.0010797,           0.0010797,           0.0010797
                 190,            0.021915,           0.0063112,           0.0039727,             0.86517,             0.36147,             0.40471,             0.23117,            0.026828,           0.0073838,           0.0094729,            0.001067,            0.001067,            0.001067
                 191,            0.023066,           0.0067495,           0.0044963,             0.85521,             0.36414,              0.4057,             0.22569,            0.027145,           0.0073838,           0.0091988,           0.0010554,           0.0010554,           0.0010554
                 192,            0.023038,           0.0065547,           0.0042702,             0.82809,             0.36515,             0.40519,             0.22655,            0.027184,           0.0074164,           0.0096196,           0.0010449,           0.0010449,           0.0010449
                 193,            0.024238,           0.0062865,           0.0045466,             0.82157,             0.37725,             0.41423,             0.23574,            0.026438,           0.0073587,           0.0084073,           0.0010355,           0.0010355,           0.0010355
                 194,            0.022559,           0.0064963,            0.003816,             0.81892,             0.37313,             0.41119,             0.23166,            0.026631,           0.0073656,           0.0087488,           0.0010272,           0.0010272,           0.0010272
                 195,            0.022852,           0.0063536,           0.0039585,             0.77183,             0.39623,             0.40951,             0.23744,            0.026606,           0.0074005,           0.0091038,             0.00102,             0.00102,             0.00102
                 196,            0.021842,            0.006665,           0.0037799,             0.87142,             0.35615,             0.41215,             0.23453,            0.026164,           0.0073814,           0.0093482,           0.0010139,           0.0010139,           0.0010139
                 197,            0.022782,           0.0064188,           0.0043215,             0.83419,             0.37586,             0.41304,             0.23712,            0.026687,           0.0074077,           0.0091017,           0.0010089,           0.0010089,           0.0010089
                 198,            0.022427,           0.0063982,           0.0040468,             0.87868,             0.36185,             0.41382,             0.23729,            0.026614,           0.0074277,           0.0085109,            0.001005,            0.001005,            0.001005
                 199,             0.02181,           0.0065376,           0.0047763,             0.84237,             0.37211,             0.41408,             0.23635,            0.026549,           0.0073946,           0.0086093,           0.0010022,           0.0010022,           0.0010022
